Weight Vector,Count
[[ 4.1       -4.5938681 -3.353738  -2.6153181 -0.0562256]],59
[[ 4.2       -4.5665371 -2.866008  -3.1072581 -0.6382056]],24
[[ 4.1       -4.6184871 -2.539678  -3.4162081 -0.5397156]],57
[[ 4.2       -4.9023971 -3.202678  -2.3677181 -0.5818286]],19
[[ 4.1       -4.9353211 -2.757158  -2.8248981 -0.4829486]],77
[[ 4.2       -4.7565711 -2.279158  -3.3385181 -0.8065686]],16
[[ 4.1       -4.4917811 -3.292898  -3.2054181 -0.2594986]],47
[[ 4.2       -4.3184711 -2.897458  -3.6795381 -0.5096686]],58
[[ 4.3       -4.5191311 -3.569358  -2.7779181 -0.4996701]],32
[[ 4.4       -4.4296191 -3.091978  -3.2622281 -1.0587601]],106
[[ 4.5       -4.2101891 -2.636948  -3.7598281 -1.3313001]],44
[[ 4.6       -4.5703091 -3.290838  -2.7074881 -1.3802671]],23
[[ 4.5       -4.6222561 -2.964508  -3.0164381 -1.2817751]],193
[[ 4.4       -4.5435661 -3.921138  -2.6377681 -0.5314351]],2
[[ 4.5       -4.4371961 -3.551568  -3.0537081 -0.7252251]],192
[[ 4.4       -4.4701161 -3.106048  -3.5108881 -0.6263451]],257
[[ 4.3       -4.5220661 -2.779718  -3.8198381 -0.5278551]],12
[[ 4.4       -4.9897161 -3.346078  -2.7229381 -0.5613041]],17
[[ 4.5       -4.8316161 -3.259169  -2.9543181 -0.4788921]],16
[[ 4.4       -4.8835661 -2.932839  -3.2632681 -0.3804021]],27
[[ 4.3       -4.9355161 -2.606509  -3.5722181 -0.2819121]],65
[[ 4.4       -5.3175461 -3.912019  -1.8763881 -0.5124321]],5
[[ 4.5       -5.1387961 -3.434019  -2.3900081 -0.8360521]],21
[[ 4.4       -5.1717201 -2.988499  -2.8471881 -0.7371721]],3
[[ 4.3       -5.1556121 -2.342259  -3.6829181 -0.5850121]],2
[[ 4.4       -5.6189921 -3.617349  -2.0112581 -0.9066921]],24
[[ 4.5       -5.3798221 -3.161699  -2.5101381 -1.1965621]],108
[[ 4.6       -5.2290521 -2.965739  -2.8159781 -1.2088051]],22
[[ 4.7       -5.0840421 -2.605069  -3.2215481 -1.3684651]],1
[[ 4.6       -5.1359921 -2.278739  -3.5304981 -1.2699751]],4
[[ 4.7       -5.4446521 -2.942359  -2.4764481 -1.3591571]],27
[[ 4.6       -5.4966021 -2.616029  -2.7853981 -1.2606671]],33
[[ 4.5       -5.3666021 -3.642809  -2.4900981 -0.6742871]],45
[[ 4.6       -5.2770901 -3.165429  -2.9744081 -1.2333771]],16
[[ 4.7       -5.0739901 -2.980229  -3.2756181 -1.2330768]],38
[[ 4.6       -5.1259371 -2.653899  -3.5845681 -1.1345848]],65
[[ 4.7       -5.4857871 -4.019829  -1.8240481 -1.3838548]],34
[[ 4.8       -5.3267471 -3.798619  -2.1358781 -1.3955798]],23
[[ 4.9       -5.1777871 -3.455739  -2.5389681 -1.5381698]],65
[[ 4.8       -5.2107111 -3.010219  -2.9961481 -1.4392898]],37
[[ 4.7       -5.1462391 -2.549599  -3.8308481 -1.1682998]],17
[[ 4.6       -5.0675491 -3.506229  -3.4521781 -0.4179598]],29
[[ 4.7       -4.8657791 -3.326409  -3.7479881 -0.3969698]],92
[[ 4.8       -4.6266091 -2.870759  -4.2468681 -0.6868398]],27
[[ 4.9       -4.8803391 -3.566659  -3.3663281 -0.5339498]],8
[[ 4.8       -4.9322891 -3.240329  -3.6752781 -0.4354598]],226
[[ 4.7       -4.9842391 -2.913999  -3.9842281 -0.3369698]],85
[[ 4.8       -5.2681491 -3.576999  -2.9357381 -0.3790828]],7
[[ 4.9       -5.0487191 -3.121969  -3.4333381 -0.6516228]],154
[[ 4.8       -5.1006661 -2.795639  -3.7422881 -0.5531308]],230
[[ 4.7       -5.1526161 -2.469309  -4.0512381 -0.4546408]],15
[[ 4.6       -4.8878261 -3.483049  -3.9181381  0.0924292]],35
[[ 4.7       -4.7090761 -3.005049  -4.4317581 -0.2311908]],11
[[ 4.8       -5.1576861 -4.333939  -2.7008881 -0.5531308]],2
[[ 4.9       -5.0225061 -4.227989  -2.9352581 -0.5131328]],82
[[ 5.        -4.8997161 -3.824899  -3.3996081 -0.9043828]],69
[[ 4.9       -4.9326401 -3.379379  -3.8567881 -0.8055028]],144
[[ 4.8       -4.9655601 -2.933859  -4.3139681 -0.7066228]],12
[[ 4.9       -5.2924801 -4.207919  -2.7582381 -0.7208048]],9
[[ 5.        -5.1667601 -3.720609  -3.2868481 -1.3082148]],4
[[ 4.9       -5.1996801 -3.275089  -3.7440281 -1.2093348]],97
[[ 4.8       -5.2516301 -2.948759  -4.0529781 -1.1108448]],95
[[ 4.9       -5.5658601 -4.252409  -2.4852481 -1.1770098]],11
[[ 5.        -5.4068201 -4.031199  -2.7970781 -1.1887348]],109
[[ 5.1       -5.2618101 -3.670529  -3.2026481 -1.3483948]],57
[[ 5.        -5.2947341 -3.225009  -3.6598281 -1.2495148]],32
[[ 4.9       -5.2160441 -4.181639  -3.2811581 -0.4991748]],45
[[ 5.        -5.0129441 -3.996439  -3.5823681 -0.4988745]],55
[[ 4.9       -5.0648941 -3.670109  -3.8913181 -0.4003845]],32
[[ 5.        -4.8861441 -3.192109  -4.4049381 -0.7240045]],19
[[ 5.1       -5.2681741 -4.497619  -2.7091081 -0.9545245]],13
[[ 5.        -5.4773941 -3.816619  -3.5554681 -0.8943085]],85
[[ 5.1       -5.3094041 -3.395939  -4.0094481 -1.1336185]],60
[[ 5.        -5.3613541 -3.069609  -4.3183981 -1.0351285]],15
[[ 5.1       -5.7212041 -4.435539  -2.5578781 -1.2843985]],26
[[ 5.2       -5.6192641 -4.325249  -2.7878781 -1.2250035]],23
[[ 5.1       -5.6031561 -3.679009  -3.6236081 -1.0728435]],34
[[ 5.2       -5.4013861 -3.499189  -3.9194181 -1.0518535]],69
[[ 5.1       -5.4343101 -3.053669  -4.3765981 -0.9529735]],28
[[ 5.2       -5.8093401 -4.399529  -2.6172781 -1.2306835]],3
[[ 5.3       -5.6585701 -4.203569  -2.9231181 -1.2429265]],41
[[ 5.2       -5.7515401 -3.823859  -3.3874081 -1.2133565]],13
[[ 5.3       -5.5934401 -3.73695   -3.6187881 -1.1309445]],77
[[ 5.2       -5.6453901 -3.41062   -3.9277381 -1.0324545]],120
[[ 5.1       -5.6973371 -3.08429   -4.2366881 -0.9339625]],132
[[ 5.2       -6.0331571 -3.80833   -3.0924981 -0.9910755]],43
[[ 5.1       -5.9686851 -3.34771   -3.9271981 -0.7200855]],83
[[ 5.2       -5.7669151 -3.16789   -4.2230081 -0.6990955]],56
[[ 5.3       -6.0938351 -4.44195   -2.6672781 -0.7132775]],9
[[ 5.4       -6.0331041 -4.04651   -3.1444781 -1.1618075]],15
[[ 5.3       -6.0850541 -3.72018   -3.4534281 -1.0633175]],39
[[ 5.4       -5.8656241 -3.26515   -3.9510281 -1.3358575]],17
[[ 5.3       -5.9175741 -2.93882   -4.2599781 -1.2373675]],34
[[ 5.4       -6.2014841 -3.60182   -3.2114881 -1.2794805]],36
[[ 5.3       -6.1853761 -2.95558   -4.0472181 -1.1273205]],32
[[ 5.4       -6.5452261 -4.32151   -2.2866981 -1.3765905]],1
[[ 5.5       -6.3664761 -3.84351   -2.8003181 -1.7002105]],68
